Meta:worker_code,about_how_many_kilometers_miles_did_you_drive_in_the_last_12_months,at_which_age_did_you_obtain_your_first_license_for_driving_a_car_or_motorcycle,have_you_read_and_understood_the_above_instructions,how_many_accidents_were_you_involved_in_when_driving_a_car_in_the_last_3_years_please_include_all_accidents_regardless_of_how_they_were_caused_how_slight_they_were_or_where_they_happened,how_often_do_you_do_the_following_becoming_angered_by_a_particular_type_of_driver_and_indicate_your_hostility_by_whatever_means_you_can,how_often_do_you_do_the_following_disregarding_the_speed_limit_on_a_motorway,how_often_do_you_do_the_following_disregarding_the_speed_limit_on_a_residential_road,how_often_do_you_do_the_following_driving_so_close_to_the_car_in_front_that_it_would_be_difficult_to_stop_in_an_emergency,how_often_do_you_do_the_following_racing_away_from_traffic_lights_with_the_intention_of_beating_the_driver_next_to_you,how_often_do_you_do_the_following_sounding_your_horn_to_indicate_your_annoyance_with_another_road_user,how_often_do_you_do_the_following_using_a_mobile_phone_without_a_hands_free_kit,if_you_answered_other_in_the_previous_question_please_describe_the_place_where_you_are_located_now_below,if_you_answered_other_in_the_previous_question_please_describe_your_input_device_below,in_which_type_of_place_are_you_located_now,in_which_year_do_you_think_that_most_cars_will_be_able_to_drive_fully_automatically_in_your_country_of_residence,on_average_how_often_did_you_drive_a_vehicle_in_the_last_12_months,please_provide_any_suggestions_that_could_help_engineers_to_build_safe_and_enjoyable_automated_cars,what_is_your_age,what_is_your_gender,what_is_your_primary_mode_of_transportation,which_input_device_are_you_using_now,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
U71606169313514DF33529B,5001__15000_km_3108__9321_mi,16.0,yes,0,1_to_3_times_per_month,1_to_3_times_per_month,0_times_per_month,0_times_per_month,4_to_6_times_per_month,1_to_3_times_per_month,0_times_per_month,,,indoor_brightlight,2030,once_a_month_to_once_a_week,,41,female,private_vehicle,laptop_keyboard,,61.0,,,80.0,24.0,,,,,,68.0,,,60.0,20.0,51.0,79.0,55.0,60.0,76.0,58.0,,30.0,,40.0,,,,83.0,,,,,40.0,,39.0,30.0,52.0,66.0,,,45.0,13.0,,,26.0,,,,,64.0,59.0,,,,60.0,,53.0,,,,,59.0,60.0,47.0,54.0,69.0,48.0,,,,55.0,,54.0,,,60.0,,,72.0,16.0,,,69.0,34.0,53.0,59.0,72.0,,59.0,53.0,73.0,40.0,,40.0,27.0,,39.0,53.0,32.0,41.0,,18.0,61.0,,18.0,81.0,,,55.0,68.0,59.0,71.0,,,50.0,60.0,,32.0,,,71.0,,59.0,,70.0,,,28.0,66.0,,,58.0,18.0,,48.0,56.0,,,48.0,39.0,,44.0,48.0,,,28.0,52.0,59.0,,,,60.0,,,73.0,,,,,,57.0,,,57.0,62.0,49.0,,,47.0,36.0,,,71.0,,,,31.0,,,6.0,60.0,,51.0,,47.0,,28.0,,,54.0,,,,,53.0,80.0,,44.0,,,,,,,67.0,,,
U71606173210744DF6019B,i_prefer_not_to_respond,,yes,0,i_prefer_not_to_respond,i_prefer_not_to_respond,i_prefer_not_to_respond,i_prefer_not_to_respond,0_times_per_month,i_prefer_not_to_respond,0_times_per_month,,,indoor_dimlight,2050,i_prefer_not_to_respond,luz solar,18,female,i_prefer_not_to_respond,desktop_keyboard,56.0,53.0,,53.0,,,,,59.0,,,52.0,,,,53.0,47.0,51.0,45.0,,,56.0,55.0,,53.0,,,,,,53.0,,55.0,55.0,34.0,,,,,,,,,53.0,54.0,52.0,,54.0,,,,,,54.0,56.0,,55.0,33.0,,54.0,52.0,,,55.0,56.0,,53.0,,47.0,53.0,54.0,69.0,,53.0,,,,,,,56.0,54.0,,55.0,53.0,,,46.0,53.0,,,56.0,,,43.0,46.0,56.0,54.0,54.0,,,,,53.0,,,53.0,54.0,,48.0,,53.0,,,46.0,,45.0,,,,,,53.0,52.0,54.0,,46.0,48.0,,53.0,53.0,,44.0,,54.0,,,54.0,52.0,,,,37.0,53.0,53.0,53.0,,45.0,53.0,55.0,52.0,,,,53.0,53.0,53.0,54.0,48.0,47.0,56.0,52.0,54.0,44.0,,,,,,,,53.0,,54.0,,54.0,48.0,,,53.0,54.0,55.0,,,,,,53.0,,52.0,54.0,,,,,53.0,45.0,,,48.0,,,54.0,,,47.0,54.0,,,46.0
U71606172272226DF66819B,1001__5000_km_622__3107_mi,25.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,0_times_per_month,4_to_6_times_per_month,1_to_3_times_per_month,,,indoor_brightlight,2040,4_to_6_days_a_week,Cars should be capable of being automated and manually-driven. Manual drive provides the driver a choice in case the automation system fails.,71,male,private_vehicle,laptop_keyboard,,,,,,,,80.0,,,,,,,70.0,,20.0,,29.0,80.0,90.0,69.0,68.0,,40.0,,,,30.0,,,,,,,,80.0,,,70.0,,80.0,,27.0,61.0,39.0,,18.0,,,19.0,71.0,,60.0,,,,11.0,,,69.0,71.0,,,,30.0,,70.0,,,29.0,60.0,30.0,28.0,,,,,,,,29.0,40.0,70.0,90.0,,71.0,40.0,,70.0,,30.0,70.0,69.0,80.0,,,68.0,19.0,,68.0,,,28.0,,,60.0,19.0,,30.0,,70.0,,72.0,40.0,39.0,69.0,,20.0,,20.0,,,,19.0,68.0,20.0,80.0,19.0,39.0,80.0,,28.0,89.0,29.0,,,,,39.0,,70.0,,,69.0,39.0,,,29.0,,,68.0,80.0,,81.0,19.0,73.0,,70.0,60.0,60.0,19.0,,,,69.0,80.0,,,,70.0,80.0,70.0,,70.0,70.0,,,,,19.0,,60.0,40.0,,,69.0,,,,70.0,40.0,,,69.0,71.0,69.0,,30.0,,,60.0,81.0,,80.0,9.0,,,72.0,
U71606172173324DF56619B,15001__20000_km_9322__12427_mi,19.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_dimlight,2050,4_to_6_days_a_week,camaras en la parte externa para mejorar la vision del conductor,30,male,private_vehicle,desktop_keyboard,81.0,,,0.0,0.0,38.0,,,,,,70.0,39.0,0.0,,,0.0,71.0,0.0,28.0,,80.0,,,27.0,,,,0.0,,,,0.0,30.0,0.0,,59.0,60.0,0.0,,,,,39.0,,,,,,81.0,,,40.0,,,0.0,,0.0,,,,40.0,,,28.0,,39.0,,60.0,69.0,0.0,,,,,,38.0,39.0,60.0,5.0,59.0,,,19.0,100.0,20.0,,49.0,,,0.0,,,50.0,,48.0,88.0,,0.0,0.0,71.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,39.0,,0.0,0.0,,,,,100.0,,88.0,,,,,29.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,50.0,,40.0,,0.0,0.0,0.0,,,,0.0,,0.0,,66.0,,0.0,61.0,,,,,27.0,66.0,,0.0,,0.0,,,,,,,,,,69.0,,,,,49.0,,18.0,,0.0,81.0,,,,79.0,0.0
U71606173539884DF79219B,0_km__mi,,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,2100,never,increments security,33,female,public_transportation,laptop_keyboard,,20.0,82.0,94.0,,81.0,,,,,80.0,,,81.0,74.0,,,42.0,,,100.0,88.0,,,,35.0,83.0,,40.0,,,,85.0,,,80.0,40.0,,36.0,90.0,,39.0,11.0,,38.0,,90.0,,,24.0,,62.0,39.0,,64.0,,,,83.0,,34.0,,,,29.0,,,,,69.0,,33.0,80.0,,79.0,34.0,81.0,70.0,,40.0,,,78.0,,,85.0,,63.0,,,67.0,70.0,,,39.0,92.0,89.0,94.0,23.0,66.0,,63.0,85.0,,,90.0,,91.0,67.0,74.0,,,82.0,,71.0,,,,,,,,,,33.0,,68.0,40.0,80.0,,,,80.0,,81.0,,,,32.0,67.0,68.0,73.0,88.0,,83.0,,,37.0,,41.0,65.0,45.0,,32.0,79.0,18.0,82.0,,39.0,82.0,,,94.0,93.0,,,,,61.0,84.0,,,,,,69.0,,72.0,82.0,33.0,,,,,38.0,81.0,78.0,,89.0,,81.0,,,82.0,86.0,,16.0,93.0,,,,77.0,,40.0,38.0,,38.0,,,21.0
U71606173318878DF87479B,5001__15000_km_3108__9321_mi,18.0,yes,0,0_times_per_month,1_to_3_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_dimlight,2030,4_to_6_days_a_week,There is not much to suggest. Cars know the owner and your preferences barely gets in the car.,39,male,private_vehicle,desktop_keyboard,,,0.0,,,0.0,10.0,,,19.0,,40.0,,60.0,20.0,,20.0,31.0,60.0,19.0,29.0,,12.0,,0.0,8.0,,20.0,,0.0,0.0,,,8.0,0.0,,19.0,40.0,,32.0,,,,,19.0,,0.0,40.0,,,10.0,,32.0,29.0,,,20.0,,,,,30.0,,40.0,20.0,,,20.0,,,,19.0,,30.0,10.0,,0.0,9.0,0.0,19.0,32.0,,,,50.0,,60.0,,,10.0,0.0,,10.0,0.0,,,,,,31.0,,19.0,31.0,,,52.0,0.0,52.0,40.0,31.0,32.0,40.0,50.0,,12.0,,80.0,,,,20.0,60.0,29.0,30.0,,9.0,0.0,30.0,,19.0,,,31.0,,,,,,20.0,,,,,,,,,10.0,40.0,,31.0,20.0,40.0,,,,,0.0,,11.0,8.0,,,10.0,,,31.0,,,,31.0,40.0,,,10.0,10.0,,,0.0,19.0,40.0,0.0,,,,39.0,10.0,0.0,,,0.0,,,20.0,,19.0,19.0,,,20.0,,,31.0,19.0,20.0,,,,,
U71606174156302DF88879B,20001__25000_km_12428__15534_mi,,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,7_to_9_times_per_month,,,indoor_brightlight,2025,1_to_3_days_a_week,,36,male,private_vehicle,desktop_keyboard,,27.0,,14.0,,31.0,17.0,11.0,,,,14.0,35.0,12.0,32.0,,,27.0,,30.0,74.0,,,0.0,,2.0,34.0,,,1.0,,,,,16.0,33.0,29.0,,11.0,15.0,,,33.0,5.0,19.0,44.0,,17.0,,56.0,24.0,,37.0,,,25.0,,,,,,,,15.0,11.0,,,,,45.0,7.0,,30.0,,,21.0,1.0,,16.0,9.0,,17.0,,,,1.0,0.0,,,,8.0,47.0,13.0,43.0,45.0,,0.0,42.0,,,34.0,0.0,29.0,,,32.0,1.0,,,,,,,,10.0,12.0,24.0,,,,,,,57.0,,20.0,,,32.0,,,,0.0,,,,,,,,,,,17.0,,0.0,,38.0,,25.0,6.0,,48.0,,36.0,,35.0,,17.0,11.0,1.0,,25.0,21.0,,,,10.0,,10.0,,7.0,28.0,21.0,,,14.0,,2.0,,,0.0,,0.0,,56.0,,10.0,,64.0,13.0,18.0,,32.0,,12.0,,14.0,58.0,,,20.0,12.0,26.0,29.0,3.0,45.0,33.0,25.0,
U71606173200965DF58819B,15001__20000_km_9322__12427_mi,23.0,yes,0,0_times_per_month,0_times_per_month,4_to_6_times_per_month,0_times_per_month,1_to_3_times_per_month,0_times_per_month,0_times_per_month,,,indoor_dimlight,2050,1_to_3_days_a_week,more images in motion would be more helpful to be more effective with the understanding of the research and experiment,27,male,private_vehicle,laptop_keyboard,71.0,61.0,76.0,30.0,,,,,,,,72.0,70.0,,70.0,,,,71.0,64.0,70.0,87.0,69.0,90.0,83.0,,,,61.0,,,,,,,,,78.0,,,71.0,,,,,,63.0,,68.0,,26.0,,68.0,34.0,,,68.0,28.0,,28.0,,,,84.0,,,,,67.0,65.0,62.0,,,58.0,,,,,,70.0,,65.0,,66.0,76.0,82.0,58.0,72.0,,,,,,,59.0,,90.0,,76.0,69.0,,99.0,65.0,,,34.0,66.0,,,72.0,,58.0,81.0,66.0,67.0,,57.0,74.0,,73.0,64.0,,,89.0,57.0,29.0,62.0,78.0,,77.0,61.0,64.0,74.0,,,68.0,,41.0,,29.0,64.0,,,65.0,65.0,,,68.0,31.0,41.0,62.0,70.0,,,,,,,72.0,,73.0,31.0,63.0,,81.0,,,68.0,,,65.0,,,61.0,62.0,68.0,74.0,76.0,,61.0,,79.0,79.0,74.0,,,,,,64.0,75.0,64.0,,,71.0,61.0,58.0,,,68.0,,57.0,,,,,,,,
U71606173109375DF56199B,5001__15000_km_3108__9321_mi,25.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_dimlight,2050,every_day,,47,female,private_vehicle,desktop_keyboard,100.0,,0.0,100.0,84.0,,50.0,100.0,,,0.0,,,,0.0,0.0,100.0,72.0,,40.0,,,,,,0.0,19.0,0.0,,50.0,,50.0,38.0,0.0,,50.0,,50.0,1.0,100.0,,50.0,,,0.0,,,0.0,,100.0,,66.0,52.0,,,,50.0,,83.0,0.0,,,0.0,73.0,0.0,,20.0,50.0,0.0,,,50.0,,,,,,,0.0,50.0,,,0.0,0.0,50.0,0.0,,81.0,,0.0,,100.0,100.0,50.0,,0.0,100.0,,50.0,60.0,50.0,,83.0,,,,0.0,100.0,,50.0,50.0,100.0,,,,,,50.0,,,,0.0,,0.0,,,,,100.0,0.0,,0.0,82.0,79.0,,,,,0.0,,0.0,,80.0,,0.0,,,50.0,,,0.0,,100.0,,,69.0,,,0.0,0.0,,60.0,,,0.0,,60.0,,91.0,,0.0,,,0.0,,,50.0,0.0,,0.0,,,,,0.0,,,50.0,,60.0,50.0,,0.0,0.0,,,98.0,100.0,50.0,30.0,,92.0,,,0.0,,,,,
U71606174331721DF79069B,5001__15000_km_3108__9321_mi,18.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,1_to_3_times_per_month,,,indoor_brightlight,2030,every_day,"WE NEED BETTER SYSTEMS OF DETECTION OF THE PEOPLE AND OTHER AUTOMATED CARS, WE NEED SATELITAL CONTROL AND SECURITY TO OUR FAMILIES",27,male,private_vehicle,laptop_keyboard,81.0,,61.0,73.0,75.0,83.0,74.0,,,24.0,74.0,75.0,78.0,,79.0,24.0,,,,100.0,,,,22.0,32.0,,,73.0,74.0,2.0,,,32.0,,,,,2.0,,37.0,,,73.0,3.0,,,83.0,13.0,27.0,,,69.0,85.0,,21.0,90.0,,9.0,,,,81.0,95.0,,,,,,56.0,,,,42.0,66.0,84.0,78.0,24.0,94.0,61.0,36.0,,65.0,74.0,,98.0,,35.0,71.0,,,30.0,,,83.0,,,14.0,9.0,,84.0,,,,5.0,,,3.0,,100.0,80.0,76.0,83.0,86.0,,86.0,,60.0,29.0,,2.0,,,30.0,,,58.0,,,,,,,,,81.0,82.0,59.0,63.0,100.0,,,3.0,,,61.0,,78.0,,,81.0,,91.0,,,,,79.0,,63.0,32.0,,,78.0,,,100.0,81.0,53.0,75.0,,,98.0,,,78.0,22.0,,,,66.0,85.0,5.0,24.0,21.0,99.0,,,,,43.0,,,,,,85.0,,61.0,,,10.0,81.0,73.0,77.0,,12.0,,,,
U71606173441784DF97589B,15001__20000_km_9322__12427_mi,19.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,0_times_per_month,,,indoor_dimlight,2058,4_to_6_days_a_week,que contengan un buen localizador para que el conductor si tienen dudas del lugar encuentre con facilidad su dirección,30,male,private_vehicle,desktop_keyboard,,,,100.0,0.0,,,,,0.0,,,,100.0,100.0,,,100.0,100.0,,,,,0.0,100.0,0.0,,,0.0,0.0,0.0,,,,100.0,,,,,,,,,,100.0,100.0,100.0,,100.0,,100.0,,,100.0,100.0,0.0,,,100.0,,100.0,,,100.0,100.0,,,100.0,100.0,100.0,,100.0,100.0,100.0,1.0,,,,100.0,100.0,,100.0,,,100.0,,,,,100.0,,100.0,100.0,100.0,,100.0,,,,,,,,,100.0,,,,,100.0,100.0,100.0,100.0,,,100.0,0.0,100.0,,,,,,,,,100.0,100.0,0.0,,,,1.0,,100.0,,,,100.0,,,,0.0,100.0,,,,,,,100.0,100.0,,98.0,,0.0,,,,100.0,100.0,0.0,,100.0,100.0,,,,100.0,,,,,,,0.0,,,0.0,100.0,0.0,,,0.0,100.0,,95.0,100.0,,100.0,,,,100.0,,,100.0,100.0,100.0,,,100.0,100.0,,100.0,,,,,
U71606175061902DF25299B,15001__20000_km_9322__12427_mi,20.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,0_times_per_month,4_to_6_times_per_month,0_times_per_month,,,indoor_dimlight,2050,4_to_6_days_a_week,proporcionar camaras en varios puntos del auto movil para la mejor visibilidad del conductor,47,male,private_vehicle,desktop_keyboard,,0.0,0.0,0.0,0.0,38.0,,70.0,,0.0,,,0.0,0.0,30.0,,0.0,,,,,39.0,,,30.0,0.0,68.0,,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,80.0,0.0,30.0,70.0,,,0.0,,,,39.0,70.0,,,,,,,28.0,,,,59.0,,0.0,32.0,,,,,,0.0,,0.0,0.0,32.0,,40.0,,,0.0,,,,,0.0,,,,,,0.0,40.0,,40.0,,27.0,,0.0,,,,31.0,,,,,,,39.0,,79.0,,39.0,29.0,,66.0,0.0,28.0,0.0,,,,,,,,,39.0,,,,78.0,,20.0,20.0,,,,0.0,,,,,,,,,,0.0,,,,61.0,,0.0,19.0,0.0,,39.0,,,,29.0,21.0,50.0,,0.0,,0.0,,,0.0,,,,10.0,27.0,19.0,7.0,,0.0,18.0,,,,31.0,39.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,,,18.0,0.0,,0.0
U71606175099144DF98259B,15001__20000_km_9322__12427_mi,19.0,yes,0,1_to_3_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,0_times_per_month,1_to_3_times_per_month,1_to_3_times_per_month,,,indoor_brightlight,2030,1_to_3_days_a_week,,30,male,private_vehicle,laptop_keyboard,,,32.0,72.0,39.0,,48.0,,,,,75.0,,,30.0,,48.0,80.0,80.0,72.0,,,60.0,45.0,,,,68.0,74.0,,48.0,,70.0,,,39.0,,,,65.0,82.0,,43.0,0.0,,41.0,,,,67.0,63.0,,67.0,65.0,,,66.0,20.0,,,46.0,33.0,,84.0,66.0,60.0,40.0,72.0,37.0,,,56.0,,,,,,,,,,,49.0,38.0,78.0,,,23.0,,49.0,,70.0,,78.0,33.0,51.0,60.0,92.0,,,,84.0,,,41.0,,11.0,,80.0,60.0,56.0,80.0,66.0,,37.0,,,60.0,50.0,,,70.0,43.0,,,,23.0,63.0,75.0,,,72.0,,63.0,57.0,,59.0,,,,,27.0,,,,21.0,,,67.0,38.0,39.0,,26.0,36.0,,45.0,,,,19.0,0.0,,,77.0,21.0,,,,65.0,63.0,47.0,71.0,,,,,24.0,,22.0,,,,71.0,,,,,41.0,,71.0,42.0,63.0,,66.0,,50.0,,,,43.0,70.0,,33.0,65.0,,,,70.0,42.0,65.0
U71606174777875DF72739B,0_km__mi,,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,2200,never,sensors and security,36,male,public_transportation,laptop_keyboard,70.0,40.0,39.0,,60.0,,59.0,,61.0,,,,60.0,,,,60.0,,,39.0,,60.0,,,61.0,,,61.0,41.0,40.0,39.0,,,,40.0,60.0,,40.0,18.0,,70.0,,,,,,,,,,,,40.0,60.0,59.0,19.0,,,67.0,,40.0,39.0,83.0,59.0,,62.0,,,,,60.0,20.0,,,40.0,,,60.0,,,,,,40.0,83.0,60.0,40.0,,,40.0,,63.0,40.0,,20.0,,40.0,,39.0,65.0,39.0,,64.0,68.0,20.0,70.0,59.0,,,,,,80.0,,,69.0,,,40.0,,60.0,,19.0,,20.0,,,,62.0,63.0,,87.0,,80.0,73.0,39.0,,40.0,40.0,,,61.0,,,39.0,,60.0,40.0,73.0,40.0,,,,40.0,39.0,39.0,,,20.0,,65.0,68.0,72.0,60.0,68.0,61.0,39.0,,,,20.0,,20.0,63.0,,,40.0,,61.0,,20.0,60.0,,,62.0,72.0,,,,,66.0,24.0,71.0,,,20.0,,,20.0,,,62.0,,,39.0,71.0,,61.0,,
U71606173897634DF63389B,15001__20000_km_9322__12427_mi,19.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,0_times_per_month,,,indoor_dimlight,2045,4_to_6_days_a_week,Colocar buenos retrovisores,25,female,private_vehicle,desktop_keyboard,,,,,100.0,100.0,100.0,100.0,,,,,,0.0,,0.0,100.0,100.0,,,100.0,100.0,,,,0.0,,0.0,100.0,,0.0,100.0,,100.0,,100.0,97.0,100.0,,,100.0,,,,,,100.0,,,,,,,100.0,,100.0,100.0,0.0,,,,,98.0,100.0,,0.0,,,100.0,100.0,,98.0,100.0,,,100.0,0.0,,100.0,,,,,,,0.0,,0.0,100.0,,,100.0,,100.0,100.0,,,,0.0,,,100.0,100.0,,0.0,,,,100.0,,,,,,,100.0,,,,,1.0,,,,,,,100.0,0.0,,,100.0,,99.0,,100.0,,,98.0,0.0,,,100.0,1.0,100.0,,,,100.0,100.0,,100.0,,100.0,100.0,,,,,0.0,,0.0,1.0,100.0,,100.0,,0.0,,,0.0,100.0,0.0,,,0.0,0.0,100.0,0.0,100.0,,0.0,,1.0,,100.0,100.0,,100.0,,,0.0,,,,,,,100.0,,,,100.0,,,,100.0,0.0,,
U71606172342572DF11389B,15001__20000_km_9322__12427_mi,20.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,0_times_per_month,,,indoor_dimlight,2054,4_to_6_days_a_week,Un localizador para cuestiones de seguridad,30,female,private_vehicle,desktop_keyboard,100.0,,0.0,100.0,,100.0,,,,,,,100.0,0.0,,0.0,,,100.0,100.0,,100.0,,0.0,,,,,,,,100.0,,0.0,,,,,,,,,3.0,,,100.0,100.0,,,100.0,,,,100.0,,,,,,100.0,100.0,99.0,100.0,,,0.0,100.0,,,,0.0,,,100.0,100.0,100.0,,,,,99.0,,100.0,,,0.0,0.0,,100.0,0.0,,100.0,,,,100.0,,100.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,100.0,,100.0,,,,,,,0.0,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,93.0,0.0,,,,,100.0,100.0,100.0,0.0,,,100.0,100.0,0.0,,0.0,,0.0,,,,,,6.0,,,0.0,,,,,,,,,,0.0,,,100.0,0.0,,,,1.0,,0.0,100.0,100.0,,,,,,100.0,,0.0,,,,100.0,0.0,
U71606175262565DF99269B,5001__15000_km_3108__9321_mi,,yes,0,1_to_3_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,1_to_3_times_per_month,1_to_3_times_per_month,0_times_per_month,,,indoor_dimlight,2030,4_to_6_days_a_week,consider safety aspects and the use of renewable energy,38,male,motorcycle,desktop_keyboard,56.0,18.0,25.0,19.0,,19.0,17.0,,,,,,,,,4.0,39.0,,16.0,,22.0,27.0,,7.0,,8.0,,52.0,,,,14.0,,,,12.0,,,12.0,30.0,60.0,,28.0,,24.0,18.0,,,,46.0,,40.0,,,19.0,24.0,34.0,43.0,28.0,,15.0,,,33.0,,30.0,28.0,,16.0,41.0,8.0,19.0,14.0,36.0,24.0,39.0,,,19.0,,,13.0,19.0,,22.0,,,17.0,,,,,,16.0,22.0,25.0,,31.0,,,15.0,,31.0,5.0,20.0,,,,,53.0,,19.0,,21.0,19.0,17.0,,,,14.0,39.0,,17.0,,,,5.0,14.0,25.0,,18.0,,,60.0,,20.0,,18.0,21.0,16.0,,8.0,,14.0,52.0,,30.0,,65.0,,,,,,,15.0,,,,19.0,,26.0,,28.0,,18.0,,,,56.0,,,,,,,,,,26.0,22.0,,25.0,,20.0,20.0,,,,,52.0,,,,53.0,16.0,12.0,61.0,19.0,44.0,22.0,54.0,,,57.0,19.0,,15.0,,16.0
U71606175679355DF16269B,0_km__mi,,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,2100,never,You need a good system that is capable of maintaining good communication with the user and can also provide high-level security that is emphasized in the detection of scenarios automatically and that can make decisions immediately,37,male,public_transportation,laptop_keyboard,71.0,40.0,,82.0,65.0,60.0,,,60.0,40.0,,,,72.0,,,,60.0,63.0,39.0,100.0,,,40.0,,39.0,40.0,39.0,39.0,,39.0,,70.0,,,,,,39.0,80.0,,,,71.0,39.0,40.0,71.0,69.0,,,40.0,78.0,19.0,60.0,,63.0,40.0,,62.0,72.0,,,88.0,,,,,,40.0,,74.0,19.0,,,,69.0,,62.0,,59.0,,,,,99.0,39.0,,67.0,,,64.0,,39.0,,,,84.0,,38.0,65.0,,,,71.0,,,,,,64.0,40.0,,,65.0,70.0,,100.0,40.0,39.0,66.0,71.0,68.0,38.0,,19.0,,40.0,19.0,71.0,70.0,,,64.0,91.0,69.0,,66.0,,20.0,72.0,,,,69.0,,81.0,,39.0,,,,39.0,,40.0,,,,,39.0,,,41.0,,67.0,68.0,41.0,,,,,,,,,63.0,39.0,,,71.0,40.0,,,39.0,71.0,,,,61.0,73.0,61.0,60.0,40.0,69.0,,69.0,,19.0,,41.0,,,,,40.0,39.0,,,64.0,,
U71606174125685DF19619B,1001__5000_km_622__3107_mi,18.0,yes,0,0_times_per_month,1_to_3_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,2030,1_to_3_days_a_week,I would not know,60,female,private_vehicle,laptop_keyboard,,60.0,,,,39.0,59.0,80.0,81.0,,,,80.0,,,,80.0,,40.0,,94.0,60.0,,,,40.0,61.0,,,1.0,,,,60.0,,60.0,,1.0,,80.0,,72.0,4.0,,,69.0,,20.0,81.0,,60.0,89.0,,40.0,79.0,,,40.0,,,,,99.0,,70.0,,71.0,,,,,80.0,1.0,,,80.0,4.0,70.0,,,90.0,60.0,,,99.0,20.0,65.0,,89.0,,,71.0,79.0,,,60.0,80.0,,,,40.0,,60.0,,,89.0,,,,71.0,89.0,,,,,39.0,80.0,,,60.0,80.0,,59.0,,81.0,,2.0,91.0,40.0,,94.0,,20.0,,40.0,70.0,,73.0,,,93.0,39.0,60.0,,40.0,39.0,,,60.0,73.0,71.0,,,,59.0,,81.0,81.0,,40.0,,,20.0,,40.0,71.0,,59.0,,1.0,,,80.0,70.0,,20.0,40.0,,60.0,,,39.0,,40.0,,70.0,,,,80.0,40.0,,70.0,68.0,,71.0,,,,41.0,40.0,,,93.0,80.0,,60.0,,,89.0
